Search Term,URL,Title,Description,Date,Country
#indigenousentrepreneur,https://www.linkedin.com/posts/trent-billette-%F0%9F%AA%B6-aa3982261_indigenousentrepreneur-indigenomics-indigenousbusiness-activity-7303229047981977600-vKo2,Trent Billette 🪶's Post,"My Journey as an Indigenous Entrepreneur: From Reading to Building a Knowledge Library When I first set out on this journey, ...",Unknown,ca
#indigenousentrepreneur,https://www.facebook.com/AthabascaTribalCouncil.ATC/posts/indigenous-entrepreneur-shout-outmoccasin-media-nick-vardy-is-a-proud-bearfoot-o/913958410516419/,ATC - Athabasca Tribal Council,"INDIGENOUS ENTREPRENEUR SHOUT-OUT Moccasin Media Nick Vardy is a proud Bearfoot Onondaga First Nation member, part of the Six Nations of the ...",Unknown,ca
#indigenousentrepreneur,https://www.instagram.com/pow_wow_pitch/reel/DAlYhxZtleI/,Overcoming obstacles as an Indigenous entrepreneur ...,Overcoming obstacles as an Indigenous entrepreneur? Janelle Niles from Got Land? offers her top tip: Cultivate resilience!,Unknown,ca
#indigenousentrepreneur,https://www.facebook.com/HungryBubbas/videos/indigenousentrepreneur-indigenouswomenrise-investinyourself-hungrybubbasfoodtruc/140528972436773/,#IndigenousEntrepreneur #IndigenousWomenRise # ...,IndigenousEntrepreneur #IndigenousWomenRise #investinyourself #hungrybubbasfoodtruck #hungrybubbas.,Unknown,ca
#indigenousentrepreneurship,https://www.isc-sac.gc.ca/eng/1582037564226/1610797399865,Get funding for your group's project to support Indigenous ...,The Aboriginal Entrepreneurship Program (AEP) provides access to capital and access to business opportunities to Indigenous entrepreneurs ...,Unknown,ca
#indigenousentrepreneurship,https://www.bdc.ca/en/i-am/indigenous-entrepreneur,Indigenous Entrepreneurs | BDC.ca,"Growing your business ... BDC offers the Indigenous Entrepreneur Loan with financing of up to $350,000 to grow or scale your business. Flexible repayment terms.",Unknown,ca
#indigenousentrepreneurship,https://futurpreneur.ca/en/offering/indigenous-entrepreneur-startup/,Indigenous Entrepreneur Startup Program (IESP),"The Indigenous Entrepreneur Startup Program (IESP) provides start-up loan financing and up to two years of mentorship, supported by an Indigenous team, offering ...",Unknown,ca
#indigenousentrepreneurship,https://guides.library.utoronto.ca/entrepreneurship/indigenous,Indigenous Entrepreneurship - Research guides,"Indigenous entrepreneurs are the fastest growing demographic of entrepreneurs in Canada, according to Startup Canada.",Unknown,ca
#indigenousentrepreneurship,https://themfi.ca/en/program/indigenous-youth-entrepreneurship-program,Indigenous Youth Entrepreneurship Program,"IYEP supports Indigenous students by fostering knowledge and skills pertinent to success in high school, post-high school or training, and the workplace.",Unknown,ca
#indigenousentrepreneurship,https://icubeutm.ca/indigenous/,Indigenous Entrepreneurship Program,"The program includes workshops with indigenous experts, peer-to-peer support, network opportunities, and mentorship to enhance participants' experience.",Unknown,ca
#indigenousentrepreneurship,https://www.startupcan.ca/tag/indigenousentrepreneurship/,Tag: #IndigenousEntrepreneurship,Tag: #IndigenousEntrepreneurship · Pow Wow Pitch Podcast E12 – Fill Your Spirit with Bernice Clarke · Pow Wow Pitch Podcast E11 – Take No Sh-t with Patrice ...,Unknown,ca
#indigenousentrepreneurship,https://www.instagram.com/pow_wow_pitch/p/DG0mEoPOnoy/,We are thrilled to announce @rbc's return as a Co- ...,"Together, we're empowering Indigenous entrepreneurs to create lasting impact in their communities. Learn more about our partnership at ...",Unknown,ca
#indigenousentrepreneurship,https://www.hydroone.com/about/indigenous-relations,Indigenous Relations,We're proud to partner with Canadian Council for Aboriginal Business (CCAB) to deliver the Hydro One Indigenous Entrepreneurship Grant for a third year in a row ...,Unknown,ca
#indigenousentrepreneurship,https://www.facebook.com/NACCAinfo/videos/celebrating-indigenous-entrepreneurship-meet-marton-obomsawin-the-visionary-behi/1112406983531828/,Celebrating Indigenous entrepreneurship! 🎉 Meet Marton O ...,Let's applaud Marton and all Indigenous entrepreneurs who are making waves in the business world while honoring their rich cultural traditions!,Unknown,ca
